vino,vonj
101030,  almond
101030,  citrus
101030,  honey
101030,  spice
101030,  perfume and   mango
101038,vanilla
101038,  toast
101038,  smoke
101038,  tobacco
101038,  dark fruit
101038,  red fruit
101038,  game
101038,  tar
101038,  dust
101038,  spice box
101038,  cedar
101038,  thyme
101038,  clove
101038,  cinnamon
101038,  black pepper and   mint
101045,floral
101045,  butter
101045,  cream
101045,  almond and   citrus
101048,violet
101048,  rose petal
101048,  oak
101048,  smoke and   mushroom
101058,barnyard
101058,  cherry
101058,  plum
101058,  game
101058,  tomato
101058,  apple
101058,  pear
101058,  peach
101058,  apricot
101058,  lemon
101058,  lime
101058,  orange
101058,  pineapple
101058,  kiwi
101058,  butter
101058,  cream and   vanilla
101062,violet
101062,  rose petal
101062,  oak
101062,  smoke and   mushroom
101080,asparagus
101080,  green pepper
101080,  red fruit
101080,  currant
101080,  blackberry
101080,  cherry
101080,  cedar
101080,  cigar box
101080,  violet
101080,  rose
101080,  truffle
101080,  earth
101080,  coffee and   leather
101096,cherry
101096,   raspberry and    red currant
101099,spice box
101099,  cedar
101099,  dark fruit
101099,  vanilla
101099,  toast
101099,  smoke
101099,  tobacco
101099,  red fruit
101099,  violet
101099,  rose petal
101099,  oak and   mushroom
101127,asparagus
101127,  green pepper and   red fruit
101147,apple
101147,  pear
101147,  peach
101147,  apricot
101147,  lemon
101147,  lime
101147,  orange
101147,  pineapple
101147,  kiwi
101147,  butter
101147,  cream and   vanilla
101154,apple
101154,  pear
101154,  kiwi
101154,  citrus
101154,  stone
101154,  grapefruit and   melon
101219,barnyard
101219,  cherry
101219,  plum
101219,  game and   tomato
101227,spice box
101227,  cedar and   dark fruit
101228,grapey
101228,  coriander
101228,  peach and   orange
101233,apple
101233,  pear
101233,  peach
101233,  apricot
101233,  lemon
101233,  lime
101233,  orange
101233,  pineapple
101233,  kiwi
101233,  butter
101233,  cream and   vanilla
101242,currant
101242,  blackberry
101242,  cherry
101242,  cedar and   cigar box
10129,apple
10129,  pear
10129,  white peach and   apricot
101293,vanilla
101293,  toast
101293,  smoke
101293,  tobacco
101293,  dark fruit
101293,  red fruit
101293,  spice box and   cedar
101308,apple
101308,  pear
101308,  kiwi
101308,  citrus
101308,  stone
101308,  grapefruit and   melon
101313,apple
101313,  pear
101313,  kiwi
101313,  citrus
101313,  stone
101313,  grapefruit and   melon
101316,barnyard
101316,  cherry
101316,  plum
101316,  game
101316,  tomato
101316,  apple
101316,  pear
101316,  peach
101316,  apricot
101316,  lemon
101316,  lime
101316,  orange
101316,  pineapple
101316,  kiwi
101316,  butter
101316,  cream and   vanilla
101341,chocolate
101341,  mocha
101341,  fig
101341,  earth
101341,  raisin
101341,  cranberry and   plum
101359,barnyard
101359,  cherry
101359,  plum
101359,  game and   tomato
101382,honeydew
101382,  iodine
101382,  grass
101382,  citrus
101382,  melon and   kiwi
101401,vanilla
101401,  toast
101401,  smoke
101401,  tobacco
101401,  dark fruit
101401,  red fruit
101401,  spice box
101401,  cedar
101401,  thyme
101401,  clove
101401,  cinnamon
101401,  black pepper and   mint
101403,currant
101403,  blackberry
101403,  cherry
101403,  cedar and   cigar box
101407,apple
101407,  pear
101407,  peach
101407,  apricot
101407,  lemon
101407,  lime
101407,  orange
101407,  pineapple
101407,  kiwi
101407,  butter
101407,  cream and   vanilla
101455,asparagus
101455,  green pepper
101455,  red fruit
101455,  violet
101455,  rose
101455,  truffle
101455,  earth
101455,  coffee and   leather
101486,violet
101486,  rose
101486,  truffle
101486,  earth
101486,  coffee and   leather
101501,apple
101501,  pear
101501,  kiwi
101501,  citrus
101501,  stone
101501,  grapefruit and   melon
101504,apple
101504,  pear
101504,  peach
101504,  apricot
101504,  lemon
101504,  lime
101504,  orange
101504,  pineapple
101504,  kiwi
101504,  butter
101504,  cream and   vanilla
101533,apple
101533,  pear
101533,  peach
101533,  apricot
101533,  lemon
101533,  lime
101533,  orange
101533,  pineapple
101533,  kiwi
101533,  butter
101533,  cream and   vanilla
101538,lemon
101538,  lime
101538,  orange and   watermelon
101555,barnyard
101555,  cherry
101555,  plum
101555,  game and   tomato
101563,berry
101563,  cherry
101563,  plum
101563,  earth
101563,  leather
101563,  herb
101563,  black berry
101563,  black cherry
