vino,vonj
101774,  pineapple
101774,  kiwi
101774,  butter
101774,  cream and   vanilla
101782,spice box
101782,  cedar and   dark fruit
101791,blackberry
101791,  cassis
101791,  plum and   cinnamon 
101792,berry
101792,  cherry
101792,  plum
101792,  earth
101792,  leather
101792,  herb
101792,  red fruit
101792,   tar
101792,   smoke
101792,   garrigue
101792,   cranberry
101792,   red currant
101792,  tobacco
101792,  berry and   flower
101801,violet
101801,  rose
101801,  truffle
101801,  earth
101801,  coffee and   leather
101835,asparagus
101835,  green pepper
101835,  red fruit
101835,  currant
101835,  blackberry
101835,  cherry
101835,  cedar and   cigar box
101890,currant
101890,  blackberry
101890,  cherry
101890,  cedar
101890,  cigar box
101890,  mocha
101890,  leather
101890,  vanilla
101890,  tobacco
101890,  broccoli
101890,  berry and   flower
101897,barnyard
101897,  cherry
101897,  plum
101897,  game and   tomato
101925,apple
101925,  pear
101925,  peach
101925,  apricot
101925,  lemon
101925,  lime
101925,  orange
101925,  pineapple
101925,  kiwi
101925,  butter
101925,  cream and   vanilla
101971,barnyard
101971,  cherry
101971,  plum
101971,  game and   tomato
101987,apple
101987,  pear
101987,  kiwi
101987,  citrus
101987,  stone
101987,  grapefruit
101987,  melon
101987,  apricot
101987,  quince
101987,  honey
101987,  pineapple
101987,  cream
101987,  orange
101987,   floral
101987,   peach and    honey 
101992,spice
101992,  earth
101992,  currant
101992,  cherry
101992,  blackberry
101992,  cedar and   cigar box
102015,currant
102015,  blackberry
102015,  cherry
102015,  cedar and   cigar box
102022,tobacco
102022,  broccoli
102022,  berry and   flower
102141,spice box
102141,  cedar and   dark fruit
102145,violet
102145,  rose petal
102145,  oak
102145,  smoke and   mushroom
102200,currant
102200,  blackberry
102200,  cherry
102200,  cedar and   cigar box
102209,vanilla
102209,  toast
102209,  smoke
102209,  tobacco
102209,  dark fruit
102209,  red fruit
102209,  spice box
102209,  cedar
102209,  game
102209,  tar and   dust
102239,asparagus
102239,  green pepper
102239,  red fruit
102239,  spice box
102239,  cedar and   dark fruit
102242,spice box
102242,  cedar and   dark fruit
102304,barnyard
102304,  cherry
102304,  plum
102304,  game
102304,  tomato
102304,  apple
102304,  pear
102304,  peach
102304,  apricot
102304,  lemon
102304,  lime
102304,  orange
102304,  pineapple
102304,  kiwi
102304,  butter
102304,  cream and   vanilla
102306,exotic spice
102306,  cinnamon
102306,  sour cherry and   violet
102315,barnyard
102315,  cherry
102315,  plum
102315,  game
102315,  tomato
102315,  apple
102315,  pear
102315,  peach
102315,  apricot
102315,  lemon
102315,  lime
102315,  orange
102315,  pineapple
102315,  kiwi
102315,  butter
102315,  cream and   vanilla
102340,apple
102340,  pear
102340,  kiwi
102340,  citrus
102340,  stone
102340,  grapefruit and   melon
102346,petrol
102346,  flint
102346,  rose petal
102346,  violet
102346,  orange peel
102346,  apple
102346,  pear and   peach
102353,vanilla
102353,  toast
102353,  smoke
102353,  tobacco
102353,  dark fruit
102353,  red fruit
102353,  spice box
102353,  cedar
102353,  game
102353,  tar and   dust
102374,ripe cherry
102374,  peppercorn
102374,  cinnamon
102374,  plum
102374,  red fruit
102374,  berry
102374,  cherry
102374,  plum
102374,  earth
102374,  leather
102374,  herb
102374,  blackberry
102374,  cassis and   cinnamon 
102379,asparagus
102379,  green pepper and   red fruit
102393,blackberry
102396,apple
102396,  pear
102396,  peach
102396,  apricot
102396,  lemon
102396,  lime
102396,  orange
102396,  pineapple
102396,  kiwi
102396,  butter
102396,  cream
102396,  vanilla
102396,  citrus
102396,  stone
102396,  grapefruit
102396,  melon
102396,  petrol
102396,  flint
102396,  rose petal
102396,  violet and   orange peel
102397,violet
102397,  rose petal
102397,  oak
