vino,okus
101595,  orange
101595,  pineapple
101595,  kiwi
101595,  butter
101595,  cream and   vanilla
101601,green apple
101601,  lime
101601,  citrus
101601,  pear and   acid
101624,apple
101624,  pear
101624,  peach
101624,  apricot
101624,  lemon
101624,  lime
101624,  orange
101624,  pineapple
101624,  kiwi
101624,  butter
101624,  cream and   vanilla
101657,green apple
101657,  pear
101657,  citrus and   honeysuckle
101663,pepper
101663,  earth
101663,  green
101663,  plum
101663,  mocha and   currant
101679,ripe cherry
101679,  plum
101679,  strawberry
101679,  raspberry and   mushroom
101763,cinnamon
101763,  cigar box
101763,  pomegranate
101763,  mushroom
101763,  gamey and   plum
101774,apple
101774,  pear
101774,  peach
101774,  apricot
101774,  lemon
101774,  lime
101774,  orange
101774,  pineapple
101774,  kiwi
101774,  butter
101774,  cream and   vanilla
101782,currant
101782,  blueberry
101782,  blackberry and   strawberry
101791,blackberry
101791,  cassis
101791,  plum and   cinnamon 
101792,berry
101792,  cherry
101792,  plum
101792,  earth
101792,  leather
101792,  herb
101792,  blackberry
101792,   red licorice
101792,   tar
101792,   rosewater
101792,  tobacco
101792,  raspberry
101792,  cassis
101792,  violet and   pepper
101801,currant
101801,  black cherry
101801,  plum
101801,  bell pepper
101801,  olive
101801,  oak
101801,  smoke
101801,  toast and   tar
101835,red fruit
101835,  strawberry
101835,  raspberry
101835,  currant
101835,  blackberry
101835,  cherry
101835,  bell pepper
101835,  olive
101835,  asparagus
101835,  spice
101835,  ginger
101835,  oak and   vanilla
101890,currant
101890,  blackberry
101890,  cherry
101890,  bell pepper
101890,  olive
101890,  asparagus
101890,  spice
101890,  ginger
101890,  oak
101890,  vanilla
101890,  lead
101890,  cedar
101890,  molasses
101890,  dark fruit
101890,  tobacco
101890,  raspberry
101890,  cassis
101890,  violet
101890,  pepper and   green bean
101897,ripe cherry
101897,  plum
101897,  strawberry
101897,  raspberry and   mushroom
101925,apple
101925,  pear
101925,  peach
101925,  apricot
101925,  lemon
101925,  lime
101925,  orange
101925,  pineapple
101925,  kiwi
101925,  butter
101925,  cream and   vanilla
101971,ripe cherry
101971,  plum
101971,  strawberry
101971,  raspberry and   mushroom
101987,grass
101987,  gooseberry
101987,  grapefruit
101987,  lime
101987,  melon
101987,  citrus
101987,  mineral
101987,  flint
101987,  fig
101987,  lemon
101987,  pear
101987,  saffron
101987,  bell pepper
101987,  orange
101987,   floral
101987,   peach and    honey 
101992,pepper
101992,  earth
101992,  green
101992,  plum
101992,  mocha
101992,  currant
101992,  blackberry
101992,  cherry
101992,  bell pepper
101992,  olive
101992,  asparagus
101992,  spice
101992,  ginger
101992,  oak and   vanilla
102015,currant
102015,  blackberry
102015,  cherry
102015,  bell pepper
102015,  olive
102015,  asparagus
102015,  spice
102015,  ginger
102015,  oak and   vanilla
102022,tobacco
102022,  raspberry
102022,  cassis
102022,  violet
102022,  pepper and   green bean
102141,currant
102141,  blueberry
102141,  blackberry and   strawberry
102145,cherry
102145,  strawberry and   raspberry
102200,currant
102200,  blackberry
102200,  cherry
102200,  bell pepper
102200,  olive
102200,  asparagus
102200,  spice
102200,  ginger
102200,  oak and   vanilla
102209,black currant
102209,  blackberry
102209,  dust
102209,  leather
102209,  currant
102209,  blueberry
102209,  strawberry
102209,  vanilla and   musk
102239,red fruit
102239,  strawberry
102239,  raspberry
102239,  currant
102239,  blueberry and   blackberry
102242,currant
102242,  blueberry
102242,  blackberry and   strawberry
102304,ripe cherry
102304,  plum
102304,  strawberry
102304,  raspberry
102304,  mushroom
102304,  apple
102304,  pear
102304,  peach
102304,  apricot
102304,  lemon
102304,  lime
102304,  orange
102304,  pineapple
102304,  kiwi
102304,  butter
102304,  cream and   vanilla
102306,spice
102306,  cinnamon
102306,  red berry and   sour cherry
102315,ripe cherry
102315,  plum
102315,  strawberry
102315,  raspberry
102315,  mushroom
102315,  apple
102315,  pear
102315,  peach
102315,  apricot
102315,  lemon
102315,  lime
102315,  orange
102315,  pineapple
102315,  kiwi
102315,  butter
102315,  cream and   vanilla
102340,grass
102340,  gooseberry
102340,  grapefruit
102340,  lime
102340,  melon
102340,  citrus
102340,  mineral and   flint
102346,apple
102346,  pear
102346,  peach
102346,  apricot and   honey
102353,black currant
102353,  blackberry
102353,  dust
102353,  leather
102353,  currant
102353,  blueberry
102353,  strawberry
102353,  vanilla and   musk
102374,ripe cherry
102374,  peppercorn
102374,  cinnamon
102374,  plum
102374,  red fruit
102374,  berry
102374,  cherry
102374,  plum
102374,  earth
102374,  leather
102374,  herb
102374,  blackberry
102374,  cassis and   cinnamon 
102379,red fruit
102379,  strawberry and   raspberry
102393,blackberry
102396,apple
102396,  pear
102396,  peach
102396,  apricot
102396,  lemon
102396,  lime
102396,  orange
102396,  pineapple
102396,  kiwi
102396,  butter
102396,  cream
102396,  vanilla
102396,  grass
102396,  gooseberry
102396,  grapefruit
102396,  melon
102396,  citrus
102396,  mineral
102396,  flint and   honey
102397,cherry
102397,  strawberry
102397,  raspberry
102397,  licorice
102397,  anise
102397,  currant
102397,  black cherry
102397,  plum
102397,  bell pepper
102397,  olive
102397,  oak
102397,  smoke
102397,  toast
102397,  tar
102397,  blueberry and   blackberry
102455,apple
102455,  pear
102455,  peach
102455,  apricot
102455,  lemon
102455,  lime
102455,  orange
102455,  pineapple
102455,  kiwi
102455,  butter
102455,  cream and   vanilla
102458,ripe cherry
102458,  plum
102458,  strawberry
102458,  raspberry and   mushroom
102478,high acid
102478,  asparagus
102478,  white pepper
102478,  citrus and   grapefruit
102482,apple
102482,  pear
102482,  peach
102482,  apricot
102482,  lemon
102482,  lime
102482,  orange
102482,  pineapple
102482,  kiwi
102482,  butter
102482,  cream and   vanilla
102494,currant
102494,  black cherry
102494,  plum
102494,  bell pepper
102494,  olive
102494,  oak
102494,  smoke
102494,  toast and   tar
102546,apple
102546,  pear
102546,  peach
102546,  apricot
102546,  lemon
102546,  lime
102546,  orange
102546,  pineapple
102546,  kiwi
102546,  butter
102546,  cream and   vanilla
102547,apple
102547,  pear
102547,  peach
102547,  apricot
102547,  lemon
102547,  lime
102547,  orange
102547,  pineapple
102547,  kiwi
102547,  butter
102547,  cream and   vanilla
102565,apple
102565,  pear
102565,  peach
102565,  apricot and   honey
102574,cherry
102574,  strawberry and   raspberry
102579,cherry
102579,  strawberry and   raspberry
102580,cherry
102580,  strawberry and   raspberry
102604,apple
102604,  pear
102604,  peach
102604,  apricot
